,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,posting_month_name,is_senior,is_remote_friendly,is_llm_role,salary_tier,python_skill,cpp_skill,sql_skill,data_analysis_skill,cybersecurity_skill,statistics_skill,math_skill,nlp_skill,cv_skill,deep_learning_skill,ros_skill,cuda_skill,research_skill,comm_skill,leadership_skill
407,AI Engineer,AI Engineering,Lead (10+ yrs),7,Bootcamp/Self-taught,101000.0,100000,250000,Beijing,China,Hybrid,Big Tech (FAANG+),Finance,Docker|Python|PyTorch|Problem Solving,15.4,95,70.3,8.4,2025,6,June,Yes,Yes,No,Mid ($100-150k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
408,AI Ethics Officer,Governance,Mid (3-5 yrs),4,Bootcamp/Self-taught,110000.0,110000,210000,Paris,France,Hybrid,SME (51-500),Manufacturing,Research|Communication|Ethics Frameworks|Linux|Agile,15.6,72,18.0,9.7,2026,2,February,No,Yes,No,Mid ($100-150k),No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
409,AI Compliance Manager,Governance,Senior (6-9 yrs),3,PhD,234000.0,100000,200000,San Francisco,USA,On-site,SME (51-500),Consulting,Risk Management|Auditing|Documentation|Legal Knowledge|EU AI Act|Research,16.7,68,6.7,6.7,2026,1,January,Yes,No,No,Senior ($200-300k),No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
410,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),6,Associate's,142000.0,141000,270000,Austin,USA,On-site,Startup (1-50),Research,GPU Computing|Python|Neural Networks|TensorFlow|Agile|Linux,6.0,89,20.1,7.2,2026,3,March,No,No,No,Mid ($100-150k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
411,Deep Learning Engineer,AI Engineering,Entry (0-2 yrs),5,PhD,141000.0,141000,270000,Berlin,Germany,Hybrid,Enterprise (5000+),Retail,Neural Networks|CUDA|GPU Computing|Python|PyTorch|TensorFlow|Cloud|Git,4.1,89,23.2,7.0,2026,2,February,No,Yes,No,Mid ($100-150k),Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
412,MLOps Engineer,ML Operations,Lead (10+ yrs),8,Bachelor's,285000.0,130000,260000,Sydney,Australia,Fully Remote,Big Tech (FAANG+),Government,Kubernetes|Cloud|Monitoring|Python|CI/CD|MLflow|Cloud|Problem Solving,11.7,93,50.7,8.4,2026,2,February,Yes,Yes,No,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
413,ML Engineer,AI Engineering,Mid (3-5 yrs),7,Master's,244000.0,120000,280000,Boston,USA,Hybrid,Enterprise (5000+),Automotive,Kubernetes|MLOps|TensorFlow|SQL|Python|Cloud|Problem Solving|Communication,17.2,97,41.4,8.7,2025,11,November,No,Yes,No,Senior ($200-300k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
414,AI Agent Developer,AI Engineering,Lead (10+ yrs),6,Master's,329000.0,155000,290000,Austin,USA,Fully Remote,Mid-size (501-5000),Media,Python|APIs|Planning Systems|AutoGen|Cloud|Problem Solving|Git,16.8,96,27.1,7.6,2026,3,March,Yes,Yes,Yes,Elite (>$300k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
415,Robotics Engineer (AI),Robotics,Senior (6-9 yrs),4,Bootcamp/Self-taught,225000.0,125000,240000,Sydney,Australia,On-site,Big Tech (FAANG+),Research,Simulation|Control Systems|C++|Agile,15.5,76,22.5,6.0,2025,8,August,Yes,No,No,Senior ($200-300k),No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
416,AI Engineer,AI Engineering,Lead (10+ yrs),4,Associate's,186000.0,100000,250000,Boston,USA,Hybrid,Startup (1-50),Healthcare,PyTorch|LLM Integration|Python|Docker|Cloud (AWS/GCP/Azure)|Linux|Communication|Research,9.1,95,56.4,6.8,2025,12,December,Yes,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
417,AI Research Scientist,Research,Lead (10+ yrs),5,Bootcamp/Self-taught,275000.0,115000,280000,Los Angeles,USA,Hybrid,Mid-size (501-5000),Finance,Python|Research|Publishing|PyTorch|Agile,13.9,88,16.9,8.6,2025,1,January,Yes,Yes,No,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
418,Computer Vision Engineer,AI Engineering,Entry (0-2 yrs),3,Bachelor's,232000.0,145000,280000,San Francisco,USA,Fully Remote,Big Tech (FAANG+),Consulting,Image Processing|CUDA|PyTorch|OpenCV|CNNs|Python|Cloud|Statistics|Leadership,10.0,87,25.4,9.6,2026,2,February,No,Yes,No,Senior ($200-300k),Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes
419,RAG Engineer,AI Engineering,Senior (6-9 yrs),7,Bachelor's,255000.0,145000,280000,New York,USA,Hybrid,Mid-size (501-5000),Energy,LangChain|Vector DBs|Python|LLMs|Embeddings|Search Systems|Communication|Statistics|Research,9.1,94,52.6,8.5,2025,11,November,Yes,Yes,Yes,Senior ($200-300k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No
420,AI Product Manager,Product,Entry (0-2 yrs),5,PhD,227000.0,140000,260000,San Francisco,USA,Hybrid,Mid-size (501-5000),Research,Agile|Data Analysis|Stakeholder Mgmt|Product Strategy|AI Literacy|Research|Git,14.1,85,22.8,9.3,2026,3,March,No,Yes,No,Senior ($200-300k),No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
421,AI Security Engineer,Security,Lead (10+ yrs),10,Bachelor's,280000.0,140000,260000,New York,USA,On-site,SME (51-500),Automotive,Red Teaming|Cybersecurity|ML Security|Leadership|Communication|Problem Solving,17.4,80,22.5,6.4,2026,1,January,Yes,No,No,Senior ($200-300k),No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes
422,AI Research Scientist,Research,Senior (6-9 yrs),11,Master's,218000.0,115000,280000,Toronto,Canada,Fully Remote,Enterprise (5000+),Automotive,Publishing|PyTorch|Deep Learning|Statistics,15.7,88,20.0,8.4,2025,12,December,Yes,Yes,No,Senior ($200-300k),No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
423,Generative AI Engineer,AI Engineering,Lead (10+ yrs),2,Master's,353000.0,150000,295000,Sydney,Australia,Fully Remote,Big Tech (FAANG+),Manufacturing,Python|Deployment|LLMs|GenAI APIs|Diffusion Models|Git|Statistics|Linux,13.8,95,15.1,6.2,2026,2,February,Yes,Yes,Yes,Elite (>$300k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
424,Prompt Engineer,AI Engineering,Mid (3-5 yrs),5,Associate's,98000.0,90000,200000,Toronto,Canada,Fully Remote,Mid-size (501-5000),Retail,Prompt Design|NLP|Documentation|Python|Statistics|Linux,6.5,82,16.4,8.3,2025,11,November,No,Yes,Yes,Entry (<$100k),Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
425,AI Infrastructure Eng,Infrastructure,Senior (6-9 yrs),8,PhD,324000.0,140000,270000,New York,USA,Fully Remote,Big Tech (FAANG+),Research,CUDA|Storage|Distributed Systems|Communication|Research|Agile,8.6,85,25.3,6.6,2026,3,March,Yes,Yes,No,Elite (>$300k),No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
426,NLP Engineer,AI Engineering,Lead (10+ yrs),5,Bootcamp/Self-taught,284000.0,145000,290000,New York,USA,Hybrid,SME (51-500),Government,Hugging Face|LLMs|BERT|Research|Statistics,6.7,91,35.7,8.6,2025,9,September,Yes,Yes,No,Senior ($200-300k),No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
427,LLM Engineer,AI Engineering,Senior (6-9 yrs),2,Associate's,251000.0,160000,300000,Boston,USA,Fully Remote,SME (51-500),Automotive,RAG|LLM APIs|Prompt Engineering|Vector DBs|Fine-tuning|Linux|Communication,4.4,98,62.5,7.4,2026,1,January,Yes,Yes,Yes,Senior ($200-300k),No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
428,Multimodal AI Engineer,AI Engineering,Lead (10+ yrs),3,Master's,360000.0,160000,300000,Austin,USA,Fully Remote,Enterprise (5000+),Consulting,APIs|Vision-Language Models|Python|PyTorch|Statistics|Cloud|Linux,10.5,90,8.0,7.5,2025,10,October,Yes,Yes,No,Elite (>$300k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
429,AI Research Scientist,Research,Lead (10+ yrs),11,Bootcamp/Self-taught,163000.0,115000,280000,Sydney,Australia,Hybrid,Startup (1-50),Technology,Python|Publishing|Mathematics|Deep Learning|Research|Leadership|Communication,17.9,88,17.0,8.6,2025,10,October,Yes,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes
430,AI Research Scientist,Research,Lead (10+ yrs),5,PhD,291000.0,115000,280000,Sydney,Australia,Hybrid,Enterprise (5000+),Media,Python|Mathematics|PyTorch|Deep Learning|Publishing|Leadership|Problem Solving,13.2,88,19.6,8.7,2026,1,January,Yes,Yes,No,Senior ($200-300k),Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes
431,AI Compliance Manager,Governance,Mid (3-5 yrs),3,Associate's,117000.0,100000,200000,Los Angeles,USA,Hybrid,Startup (1-50),Media,Legal Knowledge|Documentation|EU AI Act|Auditing|Risk Management|Communication|Linux|Git,15.5,68,7.1,6.5,2025,9,September,No,Yes,No,Mid ($100-150k),No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
432,AI Research Scientist,Research,Mid (3-5 yrs),12,PhD,124000.0,115000,280000,Amsterdam,Netherlands,Hybrid,Startup (1-50),Energy,Publishing|Mathematics|Deep Learning|Python|PyTorch|Statistics|Leadership|Problem Solving,10.1,88,7.5,9.1,2025,4,April,No,Yes,No,Mid ($100-150k),Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes
433,Senior Data Scientist,Data Science,Mid (3-5 yrs),10,Associate's,157000.0,157000,218000,Paris,France,Hybrid,SME (51-500),Government,Advanced Statistics|Deep Learning|ML|Python|Leadership|Cloud|Linux,9.6,90,21.9,9.6,2025,4,April,No,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
434,Senior ML Engineer,AI Engineering,Senior (6-9 yrs),7,Associate's,185000.0,180000,312000,Berlin,Germany,Hybrid,SME (51-500),Finance,PyTorch|System Design|MLOps|Distributed Systems|Python|LLM Fine-tuning|Agile,14.8,96,44.7,7.3,2025,6,June,Yes,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
435,AI Compliance Manager,Governance,Mid (3-5 yrs),9,PhD,100000.0,100000,200000,Berlin,Germany,Fully Remote,SME (51-500),Research,Legal Knowledge|EU AI Act|Auditing|Leadership,13.9,68,25.2,6.4,2025,10,October,No,Yes,No,Entry (<$100k),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
436,MLOps Engineer,ML Operations,Entry (0-2 yrs),9,Bachelor's,130000.0,130000,260000,Tokyo,Japan,On-site,Mid-size (501-5000),Research,Kubernetes|Docker|MLflow|CI/CD|Cloud|Python|SQL|Leadership,9.3,93,42.7,8.8,2025,12,December,No,No,No,Mid ($100-150k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
437,AI Agent Developer,AI Engineering,Lead (10+ yrs),4,Bootcamp/Self-taught,217000.0,155000,290000,Singapore,Singapore,Fully Remote,SME (51-500),Manufacturing,Planning Systems|AutoGen|APIs|LangChain|Python|Tool Use|Git|Agile|Cloud,14.3,96,20.6,6.9,2025,10,October,Yes,Yes,Yes,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
438,ML Engineer,AI Engineering,Lead (10+ yrs),9,Bachelor's,336000.0,120000,280000,Seattle,USA,Fully Remote,Mid-size (501-5000),Automotive,MLOps|SQL|Python|PyTorch|Problem Solving,15.5,97,67.1,8.7,2026,1,January,Yes,Yes,No,Elite (>$300k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
439,Generative AI Engineer,AI Engineering,Entry (0-2 yrs),3,Associate's,158000.0,150000,295000,Dubai,UAE,Hybrid,Big Tech (FAANG+),Education,GenAI APIs|Python|Fine-tuning|LLMs|Statistics|SQL|Cloud,11.7,95,23.3,9.5,2025,9,September,No,Yes,Yes,Upper-Mid ($150-200k),Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
440,AI Compliance Manager,Governance,Senior (6-9 yrs),6,Bootcamp/Self-taught,164000.0,100000,200000,Boston,USA,Fully Remote,Mid-size (501-5000),Education,Auditing|Legal Knowledge|EU AI Act|Leadership|SQL,16.5,68,6.4,6.0,2026,2,February,Yes,Yes,No,Upper-Mid ($150-200k),No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
441,Data Engineer (AI),Data Engineering,Senior (6-9 yrs),2,Master's,187000.0,130000,220000,Boston,USA,Fully Remote,Startup (1-50),Media,Airflow|ETL|Spark|Leadership,12.1,88,27.8,6.0,2026,2,February,Yes,Yes,No,Upper-Mid ($150-200k),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
442,NLP Engineer,AI Engineering,Senior (6-9 yrs),5,PhD,318000.0,145000,290000,Remote,Global,Fully Remote,Enterprise (5000+),Manufacturing,Python|LLMs|Hugging Face|Text Processing|BERT|Cloud|SQL,8.0,91,23.1,7.1,2025,7,July,Yes,Yes,No,Elite (>$300k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
443,Generative AI Engineer,AI Engineering,Mid (3-5 yrs),7,Master's,164000.0,150000,295000,Toronto,Canada,Fully Remote,Startup (1-50),Media,Python|Diffusion Models|LLMs|Fine-tuning|GenAI APIs|Linux|Statistics|Cloud,15.4,95,75.3,6.5,2026,1,January,No,Yes,Yes,Upper-Mid ($150-200k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
444,Senior Data Scientist,Data Science,Entry (0-2 yrs),10,Master's,157000.0,157000,218000,Austin,USA,Hybrid,Mid-size (501-5000),Automotive,Deep Learning|Python|ML|Advanced Statistics|Causal Inference|Leadership|Git|Cloud,8.1,90,9.7,7.1,2025,5,May,No,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
445,AI Infrastructure Eng,Infrastructure,Mid (3-5 yrs),9,Bootcamp/Self-taught,158000.0,140000,270000,London,UK,Hybrid,Enterprise (5000+),Consulting,Networking|Storage|Kubernetes|Problem Solving,10.3,85,8.3,6.1,2026,1,January,No,Yes,No,Upper-Mid ($150-200k),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
446,Prompt Engineer,AI Engineering,Mid (3-5 yrs),4,Bachelor's,240000.0,90000,200000,San Francisco,USA,Hybrid,Big Tech (FAANG+),Government,Testing|Python|LLM APIs|Prompt Design|NLP|Documentation|SQL|Leadership,5.1,82,11.7,7.1,2025,7,July,No,Yes,Yes,Senior ($200-300k),Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes
447,NLP Engineer,AI Engineering,Mid (3-5 yrs),8,Bachelor's,145000.0,145000,290000,Toronto,Canada,Hybrid,Startup (1-50),Healthcare,BERT|LLMs|Text Processing|Hugging Face|Cloud,6.4,91,39.4,6.4,2026,3,March,No,Yes,No,Mid ($100-150k),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
448,Robotics Engineer (AI),Robotics,Senior (6-9 yrs),8,PhD,264000.0,125000,240000,Austin,USA,Hybrid,Mid-size (501-5000),Healthcare,Simulation|C++|Python|Control Systems|Git|Problem Solving,14.0,76,6.0,9.7,2026,1,January,Yes,Yes,No,Senior ($200-300k),Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
449,Deep Learning Engineer,AI Engineering,Entry (0-2 yrs),7,Associate's,141000.0,141000,270000,Zurich,Switzerland,Fully Remote,Startup (1-50),Media,PyTorch|GPU Computing|CUDA|Python|TensorFlow|Neural Networks|Leadership|Agile,9.3,89,16.2,8.7,2026,1,January,No,Yes,No,Mid ($100-150k),Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
450,AI Ethics Officer,Governance,Entry (0-2 yrs),6,Master's,134000.0,110000,210000,Amsterdam,Netherlands,Hybrid,Big Tech (FAANG+),Healthcare,AI Policy|Research|Ethics Frameworks|Communication|Cloud|Research|Git,13.1,72,19.1,7.5,2026,1,January,No,Yes,No,Mid ($100-150k),No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
451,AI Research Scientist,Research,Mid (3-5 yrs),12,Associate's,191000.0,115000,280000,San Francisco,USA,On-site,SME (51-500),Healthcare,Mathematics|Publishing|Research|PyTorch|Python|Deep Learning|Agile|Leadership|Git,13.3,88,12.3,8.4,2026,2,February,No,No,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes
452,Senior Data Scientist,Data Science,Mid (3-5 yrs),5,Master's,157000.0,157000,218000,Berlin,Germany,Fully Remote,Startup (1-50),Government,Leadership|Deep Learning|Causal Inference|Advanced Statistics|Python|Leadership|Agile|Linux,5.1,90,29.6,8.4,2025,6,June,No,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
453,NLP Engineer,AI Engineering,Senior (6-9 yrs),4,Bachelor's,175000.0,145000,290000,Berlin,Germany,Hybrid,SME (51-500),Healthcare,Text Processing|BERT|Transformers|LLMs|Python|Hugging Face|Communication|Cloud,8.1,91,46.7,6.6,2026,2,February,Yes,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
454,AI Research Scientist,Research,Mid (3-5 yrs),6,Master's,160000.0,115000,280000,Zurich,Switzerland,On-site,SME (51-500),Healthcare,Python|Research|PyTorch|Publishing|Deep Learning|Problem Solving|Communication|Git,10.5,88,27.7,9.7,2025,9,September,No,No,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No
455,Senior Data Scientist,Data Science,Entry (0-2 yrs),6,Bootcamp/Self-taught,208000.0,157000,218000,San Francisco,USA,On-site,Big Tech (FAANG+),Retail,Leadership|Python|Advanced Statistics|Git,7.4,90,5.3,9.7,2026,1,January,No,No,No,Senior ($200-300k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
456,Robotics Engineer (AI),Robotics,Mid (3-5 yrs),10,Master's,125000.0,125000,240000,Toronto,Canada,Hybrid,Startup (1-50),Media,C++|Simulation|Computer Vision|ROS|SQL,14.3,76,8.1,9.1,2025,5,May,No,Yes,No,Mid ($100-150k),No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No
457,Data Scientist,Data Science,Mid (3-5 yrs),2,Bachelor's,155000.0,138000,195000,Dubai,UAE,Fully Remote,Enterprise (5000+),Consulting,Scikit-learn|ML Algorithms|Statistics|Data Visualization|Agile|Communication|Cloud,8.8,92,23.2,6.6,2025,2,February,No,Yes,No,Upper-Mid ($150-200k),No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
458,MLOps Engineer,ML Operations,Senior (6-9 yrs),3,Bachelor's,157000.0,130000,260000,Singapore,Singapore,On-site,Startup (1-50),Energy,MLflow|Kubernetes|Monitoring|Leadership|Statistics,12.3,93,80.2,8.6,2026,2,February,Yes,No,No,Upper-Mid ($150-200k),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
459,Data Engineer (AI),Data Engineering,Lead (10+ yrs),8,PhD,264000.0,130000,220000,Boston,USA,Hybrid,Mid-size (501-5000),Government,ETL|Python|Spark|Linux|Statistics|Problem Solving,16.0,88,29.4,9.1,2025,7,July,Yes,Yes,No,Senior ($200-300k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
460,Generative AI Engineer,AI Engineering,Entry (0-2 yrs),3,PhD,150000.0,150000,295000,Berlin,Germany,Hybrid,SME (51-500),Government,Fine-tuning|Deployment|Diffusion Models|GenAI APIs|LLMs|Python|Statistics|Linux|Communication,13.0,95,54.0,8.0,2026,2,February,No,Yes,Yes,Mid ($100-150k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
461,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),5,Bachelor's,180000.0,180000,312000,Bangalore,India,Hybrid,Enterprise (5000+),Manufacturing,Python|System Design|MLOps|Distributed Systems|SQL,16.5,96,71.8,6.5,2026,3,March,No,Yes,No,Upper-Mid ($150-200k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
462,Prompt Engineer,AI Engineering,Mid (3-5 yrs),1,Bachelor's,108000.0,90000,200000,London,UK,Hybrid,SME (51-500),Consulting,NLP|Prompt Design|Documentation|LLM APIs|Git,6.3,82,19.8,6.6,2025,3,March,No,Yes,Yes,Mid ($100-150k),No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
463,Senior ML Engineer,AI Engineering,Entry (0-2 yrs),11,Associate's,180000.0,180000,312000,London,UK,Hybrid,Startup (1-50),Research,PyTorch|MLOps|Distributed Systems|System Design|Agile|Research|Cloud,15.8,96,65.8,7.1,2025,11,November,No,Yes,No,Upper-Mid ($150-200k),No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
464,ML Engineer,AI Engineering,Mid (3-5 yrs),9,Bachelor's,120000.0,120000,280000,Beijing,China,Hybrid,SME (51-500),Finance,Kubernetes|TensorFlow|SQL|MLOps|Python|PyTorch|Agile,17.8,97,24.1,6.8,2026,1,January,No,Yes,No,Mid ($100-150k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
465,LLM Engineer,AI Engineering,Entry (0-2 yrs),7,Bootcamp/Self-taught,195000.0,160000,300000,Chicago,USA,Hybrid,Big Tech (FAANG+),Finance,RAG|LLM APIs|Python|Prompt Engineering|Fine-tuning|Vector DBs|Git|Problem Solving,8.5,98,39.5,6.9,2025,2,February,No,Yes,Yes,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
466,Senior ML Engineer,AI Engineering,Entry (0-2 yrs),8,PhD,283000.0,180000,312000,Los Angeles,USA,On-site,Big Tech (FAANG+),Technology,PyTorch|System Design|Python|Problem Solving|SQL|Research,8.9,96,37.5,9.7,2026,2,February,No,No,No,Senior ($200-300k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
467,AI Security Engineer,Security,Lead (10+ yrs),4,PhD,312000.0,140000,260000,Los Angeles,USA,Hybrid,Mid-size (501-5000),Government,Red Teaming|Cybersecurity|Python|Risk Analysis|Problem Solving,16.7,80,5.9,6.6,2026,1,January,Yes,Yes,No,Elite (>$300k),Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
468,AI Agent Developer,AI Engineering,Mid (3-5 yrs),3,Master's,241000.0,155000,290000,Seattle,USA,On-site,SME (51-500),Automotive,Tool Use|LangChain|AutoGen|Planning Systems|APIs|Cloud|SQL|Problem Solving,14.1,96,20.5,6.6,2026,2,February,No,No,Yes,Senior ($200-300k),No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
469,Data Scientist,Data Science,Senior (6-9 yrs),8,Associate's,222000.0,138000,195000,San Francisco,USA,On-site,SME (51-500),Healthcare,Scikit-learn|Python|ML Algorithms|Linux|Agile,7.0,92,40.8,6.3,2026,2,February,Yes,No,No,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
470,Computer Vision Engineer,AI Engineering,Lead (10+ yrs),10,Master's,336000.0,145000,280000,Remote,Global,Hybrid,Mid-size (501-5000),Education,PyTorch|CUDA|CNNs|Problem Solving|Linux,8.9,87,28.8,7.4,2026,3,March,Yes,Yes,No,Elite (>$300k),No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
471,AI Solutions Architect,Architecture,Entry (0-2 yrs),14,Master's,180000.0,180000,320000,Berlin,Germany,On-site,Startup (1-50),Finance,Cloud|System Design|ML|Linux|Cloud,16.7,84,21.7,7.3,2026,3,March,No,No,No,Upper-Mid ($150-200k),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
472,AI Solutions Architect,Architecture,Mid (3-5 yrs),12,Bachelor's,227000.0,180000,320000,Boston,USA,Hybrid,Startup (1-50),Finance,Cloud|Python|ML|System Design|Enterprise Architecture|Leadership|Research|Communication|Problem Solving,8.4,84,8.9,7.8,2026,2,February,No,Yes,No,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
473,AI Business Analyst,Business,Lead (10+ yrs),4,Bachelor's,216000.0,95000,180000,New York,USA,Hybrid,Big Tech (FAANG+),Retail,Data Visualization|Python|SQL|Business Analysis|Cloud,9.8,78,8.5,7.0,2025,12,December,Yes,Yes,No,Senior ($200-300k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
474,AI Solutions Architect,Architecture,Mid (3-5 yrs),6,PhD,269000.0,180000,320000,Amsterdam,Netherlands,Fully Remote,Big Tech (FAANG+),Manufacturing,Python|ML|Leadership|Communication,12.8,84,18.4,9.0,2026,2,February,No,Yes,No,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
475,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),6,Associate's,130000.0,130000,220000,Bangalore,India,Fully Remote,Enterprise (5000+),Healthcare,Python|Feature Stores|dbt|Spark|Statistics|SQL,17.3,88,17.5,7.2,2026,3,March,No,Yes,No,Mid ($100-150k),Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
476,Prompt Engineer,AI Engineering,Entry (0-2 yrs),2,Bootcamp/Self-taught,109000.0,90000,200000,Berlin,Germany,Hybrid,Big Tech (FAANG+),Energy,Documentation|Testing|Prompt Design|NLP|Python|LLM APIs|Leadership|Linux,5.4,82,28.8,9.7,2026,1,January,No,Yes,Yes,Mid ($100-150k),Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
477,Data Engineer (AI),Data Engineering,Senior (6-9 yrs),8,PhD,171000.0,130000,220000,Singapore,Singapore,Fully Remote,Startup (1-50),Manufacturing,Feature Stores|Airflow|ETL|Cloud|Statistics,12.3,88,29.4,7.3,2026,2,February,Yes,Yes,No,Upper-Mid ($150-200k),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
478,Prompt Engineer,AI Engineering,Mid (3-5 yrs),3,Associate's,94000.0,90000,200000,Singapore,Singapore,Fully Remote,SME (51-500),Education,Documentation|Python|Prompt Design|NLP|Testing|LLM APIs|SQL|Cloud|Git,7.4,82,18.6,8.4,2026,1,January,No,Yes,Yes,Entry (<$100k),Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
479,Multimodal AI Engineer,AI Engineering,Mid (3-5 yrs),7,Master's,208000.0,160000,300000,Paris,France,Fully Remote,Enterprise (5000+),Consulting,Python|Vision-Language Models|APIs|Fine-tuning|Research|Cloud,15.4,90,5.2,7.4,2025,5,May,No,Yes,No,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
